Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PruebaConNumerosReales,Chrome 88.0.4324.150,Conbinación de PruebaDatosVarios con Números reales para ejecutar.,,2021-02-16 11:02:33,2021-02-16 11:04:44,"2m - 11,219s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:02:34,2021-02-16 11:02:45,"11,140s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:02:34,2021-02-16 11:02:41,"7,107s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:02:41,2021-02-16 11:02:44,"2,438s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:02:44,2021-02-16 11:02:45,"0,860s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:02:45,2021-02-16 11:02:45,"0,365s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:02:45,2021-02-16 11:02:56,"10,634s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:02:45,2021-02-16 11:02:53,"7,434s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:02:53,2021-02-16 11:02:55,"2,187s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:02:55,2021-02-16 11:02:55,"0,659s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:02:55,2021-02-16 11:02:56,"0,349s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:02:56,2021-02-16 11:03:06,"10,740s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:02:56,2021-02-16 11:03:03,"7,040s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:03:03,2021-02-16 11:03:05,"2,689s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:03:05,2021-02-16 11:03:06,"0,655s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:03:06,2021-02-16 11:03:06,"0,351s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:03:06,2021-02-16 11:03:17,"10,368s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:03:06,2021-02-16 11:03:14,"7,067s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:03:14,2021-02-16 11:03:16,"2,303s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:03:16,2021-02-16 11:03:16,"0,639s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:03:16,2021-02-16 11:03:17,"0,353s",PASSED
,,,,,,,
