Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PruebaConDatosVarios,Chrome 88.0.4324.150,Conbinación de PruebaDatosVarios con DatosVarios para ejecutar diferentes tipos de datos.,,2021-02-16 11:47:33,2021-02-16 11:51:06,"3m - 32,939s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:47:34,2021-02-16 11:47:45,"11,303s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:47:35,2021-02-16 11:47:41,"6,908s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:47:41,2021-02-16 11:47:44,"2,199s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:47:44,2021-02-16 11:47:44,"0,688s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:47:44,2021-02-16 11:47:45,"0,374s",PASSED
closeBrowser(),Chrome 88.0.4324.150,,,2021-02-16 11:47:45,2021-02-16 11:47:45,"0,769s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:47:46,2021-02-16 11:47:56,"10,346s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:47:46,2021-02-16 11:47:52,"6,289s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:47:52,2021-02-16 11:47:54,"2,292s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:47:54,2021-02-16 11:47:55,"0,652s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:47:55,2021-02-16 11:47:55,"0,359s",PASSED
